source_id,variant_label,available_count,total_possible,pct,complete_10vars_5exps,missing
MPI-ESM1-2-LR,r2i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r3i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r4i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r5i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r6i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r7i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r8i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r9i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MRI-ESM2-0,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MRI-ESM2-0,r1i2p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
NESM3,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
NESM3,r2i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
NorESM2-LM,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
NorESM2-MM,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
TaiESM1,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
UKESM1-0-LL,r1i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
UKESM1-0-LL,r2i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
UKESM1-0-LL,r3i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
UKESM1-0-LL,r4i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
UKESM1-0-LL,r8i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
